Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY/90,CrdR/90,Fls/90,Fld/90,Off/90,Crs/90,Int/90,TklW/90
187,Toti Gomes,pt POR,DF,Wolves,26,1999,15.8,0.13,0.06,0.7,0.7,0,0.7,0.82,0.7
188,Diego Gomez,py PAR,MFFW,Brighton,22,2003,23.6,0.38,0,2.08,0.47,0.04,0.97,0.81,2.08
189,Joe Gomez,eng ENG,DF,Liverpool,28,1997,6.7,0.6,0,2.09,0,0,2.39,1.19,1.04
190,Nicolas Gonzalez,es ESP,MF,Manchester City,23,2002,17.4,0.34,0,1.72,1.03,0,0.17,1.38,1.72
191,Anthony Gordon,eng ENG,FW,Newcastle,24,2001,19.9,0.15,0.05,0.65,2.01,0.25,3.47,0.15,0.65
192,Ryan Gravenberch,nl NED,MF,Liverpool,23,2002,33.2,0.15,0,1.14,1.27,0,0.24,1.33,1.05
193,Archie Gray,eng ENG,MFDF,Tottenham,19,2006,16.4,0.3,0,0.73,0.12,0,0.73,1.04,0.49
194,Jack Grealish,eng ENG,MF,Everton,29,1995,18.1,0.28,0.06,0.72,3.2,0,2.15,0.61,0.83
195,Pascal Gross,de GER,MF,Brighton,34,1991,18.2,0.11,0,0.93,0.66,0.22,6.54,0.6,0.93
196,Brajan Gruda,de GER,MF,Brighton,21,2004,8,0.25,0,1.38,1.75,0.25,1.75,0.25,0.63
197,Ilia Gruev,bg BUL,MF,Leeds United,25,2000,14.7,0.2,0,1.09,0.61,0,1.09,0.95,0.88
198,Gabriel Gudmundsson,se SWE,DFMF,Leeds United,26,1999,29.2,0.21,0.03,1.06,1.92,0.1,3.01,0.96,1.61
199,Marc Guehi,eng ENG,DF,Crystal Palace,25,2000,20,0.2,0,0.7,0.9,0,0.5,1.2,0.95
200,Marc Guehi,eng ENG,DF,Manchester City,25,2000,15,0.13,0,0.73,1.33,0,0.47,1.67,0.8
201,Evann Guessand,ci CIV,MF,Aston Villa,24,2001,6.5,0,0,1.69,1.85,0,1.54,0.46,1.38
202,Evann Guessand,ci CIV,MF,Crystal Palace,24,2001,3.7,0,0,1.08,2.16,0.27,0.27,0.54,0.54
203,Idrissa Gueye,sn SEN,MF,Everton,35,1989,23.3,0.04,0.04,0.9,1.33,0,0.82,1.24,0.9
204,Luis Guilherme,br BRA,FW,West Ham,19,2006,1.4,0,0,0,0,0,0,0,0.71
205,Bruno Guimaraes,br BRA,MF,Newcastle,27,1997,27.3,0.22,0,1.65,2.75,0.07,3,0.59,1.5
206,Marc Guiu,es ESP,FW,Sunderland,19,2006,0.2,0,0,0,0,0,0,0,0
207,Marc Guiu,es ESP,FW,Chelsea,19,2006,2.9,0.34,0,3.1,0.69,0.69,0,0,0
208,Angus Gunn,sct SCO,GK,Nottingham,29,1996,0.5,0,0,0,0,0,0,0,0
209,Malo Gusto,fr FRA,DFMF,Chelsea,22,2003,25.1,0.2,0.04,0.8,0.8,0.04,2.31,1.2,0.92
210,Josko Gvardiol,hr CRO,DF,Manchester City,23,2002,15.2,0.13,0,1.05,0.46,0,0.13,1.05,0.86
211,Viktor Gyokeres,se SWE,FW,Arsenal,27,1998,24.7,0.2,0,1.42,1.26,0.16,0.32,0.04,0.2
212,Erling Haaland,no NOR,FW,Manchester City,25,2000,32.8,0.06,0,0.73,0.76,0.15,0.09,0.12,0.21
213,Lewis Hall,eng ENG,DF,Newcastle,20,2004,24.2,0.17,0,0.7,1.65,0,4.21,1.2,1.28
214,Jack Harrison,eng ENG,FW,Leeds United,28,1996,3,0,0,0.33,1.33,0,5.67,1.33,0.67
215,Quilindschy Hartman,nl NED,DF,Burnley,23,2001,20.3,0.05,0,0.64,0.15,0.05,3.65,1.58,1.53
216,Jorrel Hato,nl NED,DF,Chelsea,19,2006,12.8,0.55,0,1.17,0.16,0,0.55,1.33,1.48
217,Kai Havertz,de GER,FWMF,Arsenal,26,1999,6.5,0.15,0,1.23,1.23,0.46,0.92,0.15,0.77
218,Ayden Heaven,eng ENG,DF,Manchester Utd,18,2006,10.3,0.19,0,0.68,0.87,0,0.1,0.1,1.26
219,Jan Paul van Hecke,nl NED,DF,Brighton,25,2000,35.7,0.25,0,0.76,1.2,0.11,0.64,1.26,0.87
220,Hwang Hee-chan,kr KOR,FWMF,Wolves,29,1996,16.1,0.31,0,1.74,1.12,0.56,1.18,0.75,0.25
221,George Hemmings,eng ENG,MF,Aston Villa,18,2007,0.3,0,0,3.33,0,0,0,0,0
